cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
J,2017_2018,sm_pfos,LBXMFOS,all,20-39,499,0.006012024048096192,False,,0.2,0.3,0.5,0.8,1.4,2.2,2.7
J,2017_2018,sm_pfos,LBXMFOS,all,40-59,513,0.011695906432748537,False,,0.3,0.4,0.7,1.3,2.2,3.3,4.139999999999998
J,2017_2018,sm_pfos,LBXMFOS,all,60_plus,604,0.011589403973509934,False,,0.6,0.7,1.375,2.3,3.8,5.9,7.285000000000002
J,2017_2018,sm_pfos,LBXMFOS,all,all_ages,1929,0.00829445308449974,False,,0.3,0.4,0.6,1.2,2.2,3.8,5.3
J,2017_2018,sm_pfos,LBXMFOS,female,12-19,149,0.0,False,,0.3,0.3,0.4,0.5,0.7,0.9,1.4
J,2017_2018,sm_pfos,LBXMFOS,female,20-39,270,0.003703703703703704,False,,0.2,0.2,0.3,0.6,0.9,1.3,1.7
J,2017_2018,sm_pfos,LBXMFOS,female,40-59,258,0.011627906976744186,False,,0.2,0.3,0.5,0.8,1.3,2.330000000000001,2.914999999999998
J,2017_2018,sm_pfos,LBXMFOS,female,60_plus,300,0.006666666666666667,False,,0.5,0.7,1.175,1.95,3.4,5.2,6.705000000000001
J,2017_2018,sm_pfos,LBXMFOS,female,all_ages,977,0.006141248720573183,False,,0.2,0.3,0.5,0.8,1.7,3.2,4.4
J,2017_2018,sm_pfos,LBXMFOS,male,12-19,164,0.0,False,,0.31500000000000006,0.4,0.5,0.75,1.1,1.6700000000000017,2.0
J,2017_2018,sm_pfos,LBXMFOS,male,20-39,229,0.008733624454148471,False,,0.3,0.5,0.9,1.3,1.9,2.6,3.3599999999999994
J,2017_2018,sm_pfos,LBXMFOS,male,40-59,255,0.011764705882352941,False,,0.6,0.9,1.2,1.8,2.8,4.0,5.359999999999997
J,2017_2018,sm_pfos,LBXMFOS,male,60_plus,304,0.01644736842105263,False,,0.6,0.8,1.7,2.8,4.225,6.2,7.584999999999996
J,2017_2018,sm_pfos,LBXMFOS,male,all_ages,952,0.01050420168067227,False,,0.4,0.5,0.9,1.6,2.8,4.4,5.8449999999999935
P,2017_2020,n_pfoa,LBXNFOA,all,12-19,521,0.0,False,,0.5,0.6,0.7,1.0,1.4,1.9,2.4
P,2017_2020,n_pfoa,LBXNFOA,all,20-39,769,0.007802340702210663,False,,0.3,0.4,0.6,1.0,1.5,2.3,2.9
P,2017_2020,n_pfoa,LBXNFOA,all,40-59,852,0.0035211267605633804,False,,0.4,0.6,0.875,1.3,2.0,2.9,3.7
P,2017_2020,n_pfoa,LBXNFOA,all,60_plus,930,0.005376344086021506,False,,0.5,0.7,1.1,1.75,2.5,3.5100000000000025,4.454999999999996
P,2017_2020,n_pfoa,LBXNFOA,all,all_ages,3072,0.004557291666666667,False,,0.4,0.5,0.8,1.3,1.9,2.9,3.7
P,2017_2020,n_pfoa,LBXNFOA,female,12-19,250,0.0,False,,0.4,0.5,0.6,0.8,1.2,1.8,2.1549999999999985
P,2017_2020,n_pfoa,LBXNFOA,female,20-39,433,0.006928406466512702,False,,0.2,0.3,0.5,0.8,1.2,1.8,2.5
P,2017_2020,n_pfoa,LBXNFOA,female,40-59,428,0.002336448598130841,False,,0.4,0.5,0.7,1.1,1.7,2.7,3.6
P,2017_2020,n_pfoa,LBXNFOA,female,60_plus,455,0.002197802197802198,False,,0.5,0.7,1.1,1.7,2.45,3.6,4.429999999999995
P,2017_2020,n_pfoa,LBXNFOA,female,all_ages,1566,0.0031928480204342275,False,,0.4,0.5,0.7,1.1,1.8,2.7,3.6
P,2017_2020,n_pfoa,LBXNFOA,male,12-19,271,0.0,False,,0.6,0.7,0.9,1.1,1.6,2.1,2.6
P,2017_2020,n_pfoa,LBXNFOA,male,20-39,336,0.008928571428571428,False,,0.4,0.6,0.9,1.3,1.9,2.6,3.225
