cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,race_ethnicity,n_unweighted,n_weighted,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
I,2015_2016,n_pfos,LBXNFOS,female,60_plus,all,283,34443876.600986004,0.0035335689045936395,True,WTSB2YR,1.1,1.5,2.6456787814393596,4.4,7.181214338957157,11.719581626423393,18.654213573978353
I,2015_2016,n_pfos,LBXNFOS,female,60_plus,hispanic,100,3016024.7727549993,0.0,True,WTSB2YR,1.1360196245359,1.7,2.7,4.058847519222528,5.943143609376224,8.982264094490203,14.535041588031056
I,2015_2016,n_pfos,LBXNFOS,female,60_plus,nh_asian,21,1504672.714996,0.0,True,WTSB2YR,0.7549814882347121,1.0,2.5418348727484696,7.857956631852183,22.910131808174825,41.65846696454263,57.3751466334581
I,2015_2016,n_pfos,LBXNFOS,female,60_plus,nh_black,51,3233426.994988,0.0,True,WTSB2YR,1.6119699129543108,2.2626605724626376,3.5491296984580916,6.890338032675286,10.567368930989401,19.71214184156253,27.530939661216404
I,2015_2016,n_pfos,LBXNFOS,female,60_plus,nh_white,101,25328671.523330998,0.0,True,WTSB2YR,1.1819293873570442,1.5329913669698676,2.5,4.229902249684571,6.599202876713762,9.249795256538386,15.399553532042969
I,2015_2016,n_pfos,LBXNFOS,female,all_ages,all,1029,128933702.808634,0.006802721088435374,True,WTSB2YR,0.7,0.9,1.4,2.5,4.3,7.5,10.1
I,2015_2016,n_pfos,LBXNFOS,female,all_ages,hispanic,338,20623809.956731997,0.0029585798816568047,True,WTSB2YR,0.6145177012783551,0.8,1.1,1.8,3.0,5.145579990263512,6.8
I,2015_2016,n_pfos,LBXNFOS,female,all_ages,nh_asian,109,7224909.184446001,0.009174311926605505,True,WTSB2YR,0.6,0.9,2.0,3.390370584325153,10.108590192728501,23.250277691974926,36.43253546548632
I,2015_2016,n_pfos,LBXNFOS,female,all_ages,nh_black,245,15703308.56785,0.012244897959183673,True,WTSB2YR,0.5,0.8543129464514222,1.5,2.6140038443068185,4.711056206197233,8.795903081897247,12.207699982776345
I,2015_2016,n_pfos,LBXNFOS,female,all_ages,nh_white,297,79926137.10355,0.003367003367003367,True,WTSB2YR,0.7,1.0517297963934205,1.5,2.6,4.3,7.2,8.73025981213836
