cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n_unweighted,n_weighted,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
P,2017_2020,n_pfos,LBXNFOS,all,60_plus,930,71657058.321361,0.004301075268817204,True,WTSBAPRP,1.2,1.6,2.6,4.4,7.114344015988391,10.856481931112747,14.1
P,2017_2020,n_pfos,LBXNFOS,all,all_ages,3072,274269347.015171,0.004231770833333333,True,WTSBAPRP,0.7,1.0,1.6,2.7,4.8,7.7,10.395778541325512
P,2017_2020,n_pfos,LBXNFOS,female,12-19,250,16521123.015159,0.0,True,WTSBAPRP,0.5129339851576541,0.7,1.0,1.4,2.1,3.5,6.040420812007871
P,2017_2020,n_pfos,LBXNFOS,female,20-39,433,43540906.743569,0.004618937644341801,True,WTSBAPRP,0.6,0.8,1.1,1.7,2.5,3.881676055043643,5.736757777447344
P,2017_2020,n_pfos,LBXNFOS,female,40-59,428,42131179.999914,0.004672897196261682,True,WTSBAPRP,0.7,0.8,1.3,2.1,4.060568503040464,6.0,9.345261744866328
P,2017_2020,n_pfos,LBXNFOS,female,60_plus,455,39068588.233408004,0.002197802197802198,True,WTSBAPRP,1.0,1.4,2.1,3.6,6.209050615690405,9.7,11.8
P,2017_2020,n_pfos,LBXNFOS,female,all_ages,1566,141261797.99205,0.0031928480204342275,True,WTSBAPRP,0.6281983492887883,0.8,1.3,2.1,3.8,6.5,9.25318364428052
P,2017_2020,n_pfos,LBXNFOS,male,12-19,271,17298730.967671,0.0,True,WTSBAPRP,0.8,0.9,1.2,2.0,2.8,4.3,5.9
P,2017_2020,n_pfos,LBXNFOS,male,20-39,336,43087140.908806995,0.002976190476190476,True,WTSBAPRP,1.0,1.2,1.8,2.7,4.7,6.015329517470063,7.2
P,2017_2020,n_pfos,LBXNFOS,male,40-59,424,40033207.05869,0.009433962264150943,True,WTSBAPRP,1.3,1.7,2.5,3.8,5.7,9.180007839809823,11.3
P,2017_2020,n_pfos,LBXNFOS,male,60_plus,475,32588470.087952998,0.00631578947368421,True,WTSBAPRP,1.2,2.0,3.2,5.2,9.126895647067057,13.004373874048763,16.102801710005092
